Channel ID,Channel Display Name,Partner Revenue
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.034389
UCOxtujRGJOoo33Zd12iwkIA,imBLACK.,0.000924
UCXmbVxEm2wH-uiPI637M4fQ,Slime Ink Channel,0.030668
UCN0ozINvk0Os8XhjfkxtKjg,Nguyễn Thanh Điền,0.007346
UCLAc-74Q9A4VGuz7BtNxgAw,Pin News,0
UCwhtlxxTUWTD7KCd2lcmXew,Phương Múp,0.2908
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.003052
UCLmmu_ebl2XWzdjmx8aVjyw,Thùy Uyên - Design Tutorials,0.037395
UCgV0uGcOodDJ2POCr15yjIw,Hà Nhi Official,0
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.013629
UCOAmVytgZU9umqvqGiQXkQg,ETOY VAPE STORE,0
UClcvAdWnEtj3rggSC8D6zOA,Loren You Official,0.365605
UCyhjcqRdGJrGgCW0vxYB3gA,Xuân Thảo Vlogs,0.599771
UCOAmVytgZU9umqvqGiQXkQg,ETOY VAPE STORE,1.343423
UCPisHMpdhtwy7HmnaMlElKw,30Shine TV,0.929197
UC_rw062-bJtSTiNNdOS9YBg,Cherry Minh Ngọc,0.003456
UCcc-xg4oKDECFzFIFBOZD0A,Sunny Fun TV,0.122684
UCh1iCu0u7950VGJ7KxCFBzg,Mừng Ola Offical,0.00273
UCkslBlp-xFDGB5T3Dzhq3zg,Giàng A Pháo,0.020955
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.001216
UC0Pcmc4UQf_uInNgSl34TAA,Đur Siu Official 81,0.106028
UCyCBNOiWkBFEQ5HEWmXoUSg,Rhy,0.001879
UC2omkW6q_8Wbv4XOhPl0Pwg,Xuân Mạnh Vlogs,0.008507
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.012289
UCL-rEPqwzZsLEPzLC--EY4Q,HT Entertainment,0.016793
UCs1nyM9gm2DjoTO2JmqzUKg,Nhạc Sàn Pro,0.13931
UCpIbFtR9rpXTw9zicdivP-w,VINH LAM TV,0.017626
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCFBzw59k0W-YQaUqyK3p-Iw,NsoTien TV,0.000212
UCDvKA9ZYYD8cF4GSf-CaJ-Q,V Channel - Ghiền Công Nghệ,0
UCL-rEPqwzZsLEPzLC--EY4Q,HT Entertainment,0.352597
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCUD-8bS7nJcT0ObqdJBgq5w,Slime. Hcm,0.050413
UCa5Jkd6Y1eYP5W-6ygSlLtw,Daily News,0.835308
UC4TqyXMCW0c08N7aRfqxq9A,Gin Tuấn Kiệt,13.607954
UCuWZnubyAGLqiK0IGuvRW6A,Asun.vn,0.104943
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCPisHMpdhtwy7HmnaMlElKw,30Shine TV,0.091033
UCXmbVxEm2wH-uiPI637M4fQ,Slime Ink Channel,0.009322
UCGZ3633_mjOzUlzkitOYGwg,PMT DR,0.51541
UCG5YJCzWV8ech3Fx4NhSyxg,Engelbert,0.191261
UCR0YZHK9PfUbFWRDMAnW3Nw,QUANG BÌNH CHANNEL,0.037657
UCd7AuGqhXpOf-m5YBH4HM7w,JodieStarling's,0
UC0Pcmc4UQf_uInNgSl34TAA,Đur Siu Official 81,0
UC6HpVx4WZ7I82rc6Zdys3tw,Wildvn TV,3.559161
UCto609nvuBlqHVP_dhIrcmQ,Loan Nguyễn,0.238618
UC0qnDOM-NL5J4lZEixBpY1g,Lương Trung Kiên Official,0.015272
UCuWZnubyAGLqiK0IGuvRW6A,Asun.vn,0.00633
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.001567
UCGZ3633_mjOzUlzkitOYGwg,PMT DR,1.820022
UCMxWrrd9Vlhx0mtHOIfQOAQ,PhongRPG Gaming,0
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCaUQt5bWRLL8nq8aoaj7tRg,CNN NEWDAY,0
UCyhjcqRdGJrGgCW0vxYB3gA,Xuân Thảo Vlogs,0.387841
UCEQy98Ha0Bdqlwinj1hEeVQ,Song Dương Official,0
UCaMJm7KfrzzqswNgaRt1Njw,Vo Ha Trinh Official,0.023097
UCN0ozINvk0Os8XhjfkxtKjg,Nguyễn Thanh Điền,0.007976
UCd7AuGqhXpOf-m5YBH4HM7w,JodieStarling's,0
UCaUQt5bWRLL8nq8aoaj7tRg,CNN NEWDAY,0.009799
UCyu4k9lkbCb0dp7RiqwEUQQ,HCMLIKE Channel - Hoàng Audio HCM. 0937031686,0.141174
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0.000773
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCN0ozINvk0Os8XhjfkxtKjg,Nguyễn Thanh Điền,0.054683
UCa5Jkd6Y1eYP5W-6ygSlLtw,Daily News,0.011945
UCYY-Iyqx47R2wMnEvC942KA,Trãi nghiệm ẩm thực - Chef Ben Vado,0.001197
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCGZ3633_mjOzUlzkitOYGwg,PMT DR,0.000716
UCT9Zpw4SuTkfEBFM6Cub88w,Mega Music,0.002605
UCL-rEPqwzZsLEPzLC--EY4Q,HT Entertainment,0.622477
UC-XLgKd4VB14EBtYIDPpfNg,Gakuteee Gaming,0
UCN0ozINvk0Os8XhjfkxtKjg,Nguyễn Thanh Điền,0.088434
UCKoVM0uXdBx3uOgIrIevRYw,Đur Blogs,0.04829
UCs1nyM9gm2DjoTO2JmqzUKg,Nhạc Sàn Pro,0
UCpIbFtR9rpXTw9zicdivP-w,VINH LAM TV,0.08564
UCo16ulChnm525b-jBN606yg,Rice Two,0
UCrf5GdIn8RK-NuunRkn7OXA,Tin tức Sao Việt,0
UCYThQ2J6Unob3otPxI_wbOg,FBN Fans,7.719022
UC3QP0yrT_hWpHeNwdI2s2Tw,Nghệ Sĩ Ngọc Huyền Official,0.131527
UCok7L48ckZY2R8cDo3PsAzQ,Người Dẫn Đường Cõi Âm,0.057144
UCG5YJCzWV8ech3Fx4NhSyxg,Engelbert,0.36224
UCDvKA9ZYYD8cF4GSf-CaJ-Q,V Channel - Ghiền Công Nghệ,0.001301
UCs1nyM9gm2DjoTO2JmqzUKg,Nhạc Sàn Pro,0.099361
UCG5YJCzWV8ech3Fx4NhSyxg,Engelbert,0.437979
UC1_Mp5Qa6vDR19AZBOfwEnQ,N&T Party,0
UC0nw2-3nV3F76QcjDJiAq8A,GIÓ ĐỒNG,0.10449
UCGujmm-R4IJ02q8asEc40KQ,Tuấn Bùi - Hãy để tôi đi,0
UCeBzUoclyJAaexLXSTT8Aag,Hollywood News,0
UCkslBlp-xFDGB5T3Dzhq3zg,Giàng A Pháo,0.010339
UCFyy8hfFdhayLelOkDrNLNA,Su kien Viet in korea,0
UCMkJnaGBNMUhozd7iAYgqeg,VTM Vlogs,0.243473
