Channel ID,Channel Display Name,Partner Revenue
UC3Ge8bBJhpxkrTJrLYWURlA,Vanmiu Beauty,0.666047
UCB849xB6Z17yR_CxuNEwqSQ,SML Channel,0
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,0
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.002605
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0
UChBu64RIcdO6hMaJ4Ao8kZA,Lieu Ha Trinh,0.123261
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0.078989
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,0.012412
UCpRaxwqI0gq-n9BFWziRn1Q,Vo Ha Tram Official,6.491281
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.002334
UCuHL9SSiXZnM89fM2n3GMPg,Hài TV / Comedy,0.006687
UCf1_KkmMrPkxX_FIq-W9yhA,Ống Kính Hậu Trường,0.000367
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,144.471724
UCTq2dfu0hGe7yHz-eH4-DSw,Siêu Sao TV,0.004327
UCTq2dfu0hGe7yHz-eH4-DSw,Siêu Sao TV,0.064824
UCvjLCUhUjQl7O-0n1zM1o5g,Mua Gì Ở Đâu - HTV7,0
UCR08Oa8SiQvOui4Cma5KkCg,Gia My Official,0.014741
UCpRaxwqI0gq-n9BFWziRn1Q,Vo Ha Tram Official,0.006725
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,0.093634
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0
UCOZ8z9xeWubBriv_IYDIsDw,Rhoda Ricamara,0.000406
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0.043063
UCB-f5jONINorOBc51ObHdpQ,HDuken 160306,0
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,292.994314
UCpWjproaHsZl38uWXaOwilQ,Trường Đặng,0.002885
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.038621
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,12.559898
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,10.84232
UCqDpVOeCFYq2C2aLhQsm8TQ,Get Fit Vietnam,0
UCvoQ2QzfwzoYU4OV8bPcDhw,Hi Pencil Studio,0.311225
UCuHL9SSiXZnM89fM2n3GMPg,Hài TV / Comedy,0.41015
UCaRJT3MHpRh51b758HCdjoQ,Sam Sam Channel,0.000703
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0.005893
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0.214237
UC-Xqt_AUETd3g7Ulp2l-3gw,DANCE PASSION VIETNAM,0.567369
UCFl-lCoiKxpI7h2VE-6gDlw,Pham Thuy Van,7.106395
UCkvIaObZWNK9n6SB53sUu-g,Buzz TV,0.720832
UCCH0PsdW01a15fWL8gq6kUQ,新住民語文遠距教學計畫,0
UCvE_03SkYjkovApE4O9AjBg,Guitar Classic,170.737882
UCwrDMw72SB89QHG7CDCpYzw,Đình Lộc & Xuân Thảo Channel,0
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.489543
UCeqFTIxA9Qkco4EVmfk_wUw,Color Man Food Tour / English speaking,0.565613
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,17.437664
UCvoQ2QzfwzoYU4OV8bPcDhw,Hi Pencil Studio,0.001628
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,0.13193
UCB849xB6Z17yR_CxuNEwqSQ,SML Channel,1.219439
UCB849xB6Z17yR_CxuNEwqSQ,SML Channel,0
UC8weKdmO8J16ayY08kYPQmw,Hoàng Ngô,0
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0.009624
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.056272
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.001034
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0
UCvjLCUhUjQl7O-0n1zM1o5g,Mua Gì Ở Đâu - HTV7,0
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.047959
UCB849xB6Z17yR_CxuNEwqSQ,SML Channel,0.002548
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.138248
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,4.907328
UCGu0tr8OaBALTLP4Q6KSf7w,Song Anh Channel,12.017459
UCkp2NHVhOw7JTPVWPp3Zwiw,Khám Phá Bí Ẩn,0
UCB849xB6Z17yR_CxuNEwqSQ,SML Channel,0.003919
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.369024
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.020724
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.000558
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.001695
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.00193
UCvoQ2QzfwzoYU4OV8bPcDhw,Hi Pencil Studio,0.818993
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.000586
UCkp2NHVhOw7JTPVWPp3Zwiw,Khám Phá Bí Ẩn,0
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0.000022
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,7.305801
UC_RqDjxOi3NfJjFkbRIevPA,Phạm Hồng Minh,0
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.007317
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0.321192
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0
UCeeKAnLnrlTvEJVSsPR3QMQ,Đinh Tuấn,0
UCpsg0NIH7XKKmJxSSGnwSXQ,Mr N-V-N,0
UCf1_KkmMrPkxX_FIq-W9yhA,Ống Kính Hậu Trường,0.003061
UCyaP4aH5u0jSh-GEEVkKMtQ,Phương Trinh Jolie,4.063578
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.208324
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0.001848
UCf9HdP4nEauKA3NJFVrdUMg,Cô Giáo Triệu View,0.000504
UCyaP4aH5u0jSh-GEEVkKMtQ,Phương Trinh Jolie,0
UCv2Fwkh_E7SjxoAzHvlly4A,Con Mèo,0
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,0.001393
UC3QP0yrT_hWpHeNwdI2s2Tw,Nghệ Sĩ Ngọc Huyền Official,0
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,14.131193
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,2.228094
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0
UCB849xB6Z17yR_CxuNEwqSQ,SML Channel,0.11652
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,12.586824
UC3Ge8bBJhpxkrTJrLYWURlA,Vanmiu Beauty,0.001222
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0.000489
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,5.513943
UCTq2dfu0hGe7yHz-eH4-DSw,Siêu Sao TV,0.005302
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.046692
UCNGs9HfpAkghyB1jAfw6-UA,DIEN QUAN Kids,0.110103
UC3Ge8bBJhpxkrTJrLYWURlA,Vanmiu Beauty,1.702356
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,1.297687
UCf1_KkmMrPkxX_FIq-W9yhA,Ống Kính Hậu Trường,0.024227
UCMMPGC9Ow2FmYE6ogg48GFg,Color Man,2.971368
UCvjLCUhUjQl7O-0n1zM1o5g,Mua Gì Ở Đâu - HTV7,0.00116
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0.003874
UCy7ODI2EvCSYDxGKChBiOWg,Bánh Mì Nóng,0
UCvoQ2QzfwzoYU4OV8bPcDhw,Hi Pencil Studio,0.049088
UCF3zCyOModLIKG1C9mg4hsQ,KHƯƠNG DỪA CHANNEL,0.009774
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.011521
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0.005037
UCB849xB6Z17yR_CxuNEwqSQ,SML Channel,0
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,0
UC3QP0yrT_hWpHeNwdI2s2Tw,Nghệ Sĩ Ngọc Huyền Official,0
UCQ6deCckW6dU4rSku7_cjrg,DIEN QUAN Film,0
UCPJnSKsuC7_rWVtRCj85p0Q,Hang Cua,0
UCF3zCyOModLIKG1C9mg4hsQ,KHƯƠNG DỪA CHANNEL,0
UCF81Px1sy2hXbM36_YhhoYg,DIEN QUAN Food & Lifestyle/ Ẩm thực & Cuộc sống.,0.001829
UCUz5ikTmyoAPDrBo8FXSbgg,Nsưt Lâm Râu,0
UCA3GtNtuKvcj6VrwZ5Gpx9g,DIEN QUAN Entertainment / Giải Trí,0.131043
UC3QP0yrT_hWpHeNwdI2s2Tw,Nghệ Sĩ Ngọc Huyền Official,0
UC5nKwj1KxvkPV-BjE4LWQbg,HẺM RADIO,0
UCCK380wxqpDgj-nSf1XujUA,ASANZO VIETNAM,0.00593
UCvoQ2QzfwzoYU4OV8bPcDhw,Hi Pencil Studio,0.094275
UCRdbY9Zo8S3r3MrSjlDxJfw,STV News,0.008109
UC6z0Om94_hM-H_UED2LA0YQ,ACV Music,0.002352
